3	7	643	200	3	1	1	3	2	1	3	4	1
5	5	347	130	5	2	1	5	4	1	5	28	1
6	1	327	120	6	4	1	6	42	1	6	7	1
7	7	963	200	7	9	1	7	25	1	7	11	1
8	6	439	160	8	11	1	8	10	1	8	13	1
10	2	734	200	10	13	1	10	12	1	10	21	1
12	6	592	150	12	21	1	12	14	1	12	19	1
14	10	343	130	14	26	1	14	16	1	14	27	1
15	1	882	200	15	27	1	15	18	1	15	25	1
16	2	143	110	16	27	1	16	20	1	16	29	1
17	9	689	170	17	29	1	17	22	1	17	31	1
18	7	388	120	18	30	1	18	24	1	18	31	1
19	9	997	190	19	31	1	19	26	1	19	37	1
20	3	734	190	20	110	1	20	28	1	20	41	1
22	8	352	110	22	41	1	22	30	1	22	43	1
23	3	881	190	23	45	1	23	32	1	23	46	1
24	4	994	190	24	46	1	24	34	1	24	49	1
25	6	834	200	25	54	1	25	36	1	25	60	1
32	1	375	120	32	60	1	32	38	1	32	55	1
33	4	605	200	33	68	1	33	40	1	33	79	1
34	4	797	190	34	79	1	34	42	1	34	61	1
35	9	897	190	35	80	1	35	44	1	35	84	1
36	6	377	120	36	84	1	36	46	1	36	67	1
37	5	416	140	37	86	1	37	48	1	37	89	1
38	3	657	180	38	89	1	38	50	1	38	73	1
39	5	647	170	39	92	1	39	52	1	39	93	1
42	9	542	150	42	93	1	42	54	1	42	79	1
43	9	517	140	43	94	1	43	56	1	43	95	1
44	5	825	190	44	95	1	44	58	1	44	85	1
47	6	645	200	47	96	1	47	60	1	47	98	1
48	4	519	140	48	98	1	48	62	1	48	91	1
49	4	707	200	49	101	1	49	64	1	49	107	1
50	2	393	130	50	107	1	50	66	1	50	97	1
51	10	697	180	51	108	1	51	68	1	51	110	1
52	7	635	170	52	110	1	52	70	1	52	103	1
53	3	576	140	53	111	1	53	72	1	53	113	1
55	8	679	170	55	113	1	55	74	1	55	109	1
56	8	614	180	56	114	1	56	76	1	56	117	1
57	8	795	170	57	117	1	57	78	1	57	115	1
58	10	522	170	58	122	1	58	80	1	58	129	1
59	9	826	200	59	129	1	59	82	1	59	121	1
61	8	283	150	61	130	1	61	84	1	61	133	1
62	5	614	190	62	133	1	62	86	1	62	127	1
63	4	506	160	63	140	1	63	88	1	63	141	1
64	3	803	190	64	141	1	64	90	1	64	133	1
65	6	908	190	65	143	1	65	92	1	65	145	1
66	3	574	170	66	145	1	66	94	1	66	139	1
67	2	770	190	67	149	1	67	96	1	67	158	1
69	5	592	170	69	158	1	69	98	1	69	145	1
70	9	930	190	70	159	1	70	100	1	70	162	1
71	7	563	150	71	162	1	71	102	1	71	151	1
72	4	547	150	72	163	1	72	104	1	72	164	1
73	2	1140	200	73	164	1	73	106	1	73	157	1
74	5	964	190	74	167	1	74	108	1	74	168	1
75	3	419	170	75	168	1	75	110	1	75	163	1
76	10	547	170	76	170	1	76	112	1	76	179	1
77	3	545	140	77	179	1	77	114	1	77	169	1
78	8	778	200	78	180	1	78	116	1	78	192	1
81	4	805	190	81	192	1	81	118	1	81	175	1
82	7	597	150	82	200	1	82	120	1	82	209	1
83	7	556	160	83	209	1	83	122	1	83	181	1
85	10	677	200	85	211	1	85	124	1	85	214	1
87	8	702	190	87	214	1	87	126	1	87	187	1
88	2	436	140	88	222	1	88	128	1	88	224	1
90	1	776	200	90	224	1	90	130	1	90	193	1
91	9	532	150	91	230	1	91	132	1	91	237	1
97	3	319	110	97	237	1	97	134	1	97	199	1
99	9	899	200	99	244	1	99	136	1	99	252	1
100	9	882	190	100	252	1	100	138	1	100	205	1
102	4	642	180	102	256	1	102	140	1	102	257	1
103	4	866	190	103	257	1	103	142	1	103	211	1
104	9	287	140	104	262	1	104	144	1	104	270	1
105	4	184	100	105	270	1	105	146	1	105	217	1
106	10	843	190	106	273	1	106	148	1	106	276	1
109	8	892	200	109	276	1	109	150	1	109	223	1
112	6	554	140	112	280	1	112	152	1	112	288	1
115	2	341	140	115	288	1	115	154	1	115	229	1
116	8	319	150	116	290	1	116	156	1	116	291	1
118	5	505	160	118	291	1	118	158	1	118	235	1
119	6	706	190	119	292	1	119	160	1	119	294	1
120	4	401	150	120	294	1	120	162	1	120	241	1
121	6	728	180	121	296	1	121	164	1	121	298	1
123	8	685	180	123	298	1	123	166	1	123	247	1
124	2	101	110	124	301	1	124	168	1	124	302	1
125	9	586	170	125	302	1	125	170	1	125	253	1
126	8	732	170	126	303	1	126	172	1	126	306	1
127	3	534	150	127	306	1	127	174	1	127	259	1
128	3	745	170	128	313	1	128	176	1	128	319	1
131	9	567	170	131	319	1	131	178	1	131	265	1
132	2	541	150	132	325	1	132	180	1	132	332	1
134	5	846	190	134	332	1	134	182	1	134	271	1
135	9	518	150	135	341	1	135	184	1	135	342	1
136	8	504	170	136	342	1	136	186	1	136	277	1
137	3	640	200	137	343	1	137	188	1	137	348	1
138	10	863	200	138	348	1	138	190	1	138	283	1
139	8	639	170	139	351	1	139	192	1	139	352	1
142	9	693	180	142	352	1	142	194	1	142	289	1
